Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"50,000 - 74,999",29347,"10,000 - 25,000",21519,109,2,Buying property,57,Employed,38.7,21.7,31.9,Conservative
"Less than 25,000",26264,No debt,2829,105,3,Buying property,47,Employed,37.2,45.7,40.6,Balanced
"50,000 - 74,999",53914,"Less than 10,000",2932,128,2,Retirement savings,69,Employed,39.7,19.1,31.5,Conservative
"Less than 25,000",82510,"Less than 10,000",19192,54,5,Buying property,26,Self-employed,46.0,100.0,67.6,Growth
"25,000 - 49,999",53160,"Less than 10,000",5646,257,2,Retirement savings,65,Unemployed,42.2,15.7,31.6,Conservative
"Less than 25,000",28359,"Less than 10,000",5827,126,2,Funding education,45,Employed,33.7,27.3,31.1,Conservative
"25,000 - 49,999",35768,"Less than 10,000",6492,75,4,Retirement savings,26,Employed,33.0,74.5,49.6,Balanced
"50,000 - 74,999",110332,No debt,38124,89,4,Wealth accumulation,51,Self-employed,51.6,80.7,63.2,Growth
"Less than 25,000",25507,"Less than 10,000",5088,216,5,Wealth accumulation,33,Unemployed,36.6,96.6,60.6,Growth
"25,000 - 49,999",47830,No debt,23724,35,4,Buying property,25,Employed,42.1,74.0,54.9,Balanced
"25,000 - 49,999",35632,"Less than 10,000",28458,335,3,Retirement savings,35,Employed,50.0,55.6,52.3,Balanced
"50,000 - 74,999",33039,"10,000 - 25,000",10905,221,4,Retirement savings,27,Employed,39.7,81.9,56.6,Balanced
"100,000 or more",73213,"Less than 10,000",25098,76,3,Buying property,47,Student,53.6,46.6,50.8,Balanced
"50,000 - 74,999",54898,"Less than 10,000",30773,99,1,Funding education,50,Employed,43.7,0.9,26.6,Conservative
"Less than 25,000",28666,No debt,19279,186,5,Wealth accumulation,28,Employed,46.9,100.0,68.2,Growth
0 - No income / rely on investment returns,15421,No debt,1000,144,1,Funding education,42,Self-employed,29.2,1.9,18.3,Defensive
"Less than 25,000",31276,"Less than 10,000",11037,50,3,Buying property,30,Retired,32.8,48.7,39.2,Conservative
"25,000 - 49,999",38415,No debt,12426,40,3,Buying property,59,Employed,39.3,56.4,46.2,Balanced
"Less than 25,000",64193,"Less than 10,000",21221,235,3,Retirement savings,46,Student,49.4,40.6,45.9,Balanced
"25,000 - 49,999",78791,No debt,54687,56,1,Funding education,67,Employed,49.2,0.0,29.5,Conservative
"25,000 - 49,999",45844,"10,000 - 25,000",13756,213,4,Wealth accumulation,39,Self-employed,36.3,77.2,52.7,Balanced
"25,000 - 49,999",55697,"Less than 10,000",15006,282,3,Retirement savings,46,Employed,45.2,52.3,48.0,Balanced
"50,000 - 74,999",58582,No debt,43724,318,2,Retirement savings,61,Retired,60.9,31.8,49.3,Balanced
"Less than 25,000",7890,"10,000 - 25,000",4398,332,3,Retirement savings,66,Employed,35.1,56.0,43.5,Balanced
"Less than 25,000",33035,"Less than 10,000",13772,248,4,Retirement savings,36,Student,42.2,73.6,54.7,Balanced
"50,000 - 74,999",82210,No debt,43574,73,2,Buying property,66,Retired,50.5,31.5,42.9,Balanced
"25,000 - 49,999",21899,"Less than 10,000",2515,113,2,Buying property,62,Self-employed,32.1,21.4,27.8,Conservative
"50,000 - 74,999",90575,"Less than 10,000",17514,122,4,Wealth accumulation,42,Retired,43.8,79.7,58.2,Balanced
"25,000 - 49,999",42628,"10,000 - 25,000",4976,41,1,Funding education,69,Retired,26.9,9.1,19.8,Defensive
"Less than 25,000",38718,No debt,26848,215,1,Retirement savings,59,Employed,51.1,6.1,33.1,Conservative
"75,000 - 99,999",81238,No debt,16153,259,3,Retirement savings,54,Employed,59.2,50.5,55.7,Balanced
"50,000 - 74,999",131887,No debt,57062,90,3,Wealth accumulation,48,Unemployed,54.2,48.3,51.9,Balanced
"50,000 - 74,999",79011,No debt,21528,313,1,Retirement savings,66,Employed,57.6,0.0,34.6,Conservative
"Less than 25,000",53976,"Over 25,000",9273,81,3,Buying property,54,Retired,28.6,51.6,37.8,Conservative
"25,000 - 49,999",84366,"10,000 - 25,000",59654,208,4,Wealth accumulation,38,Unemployed,45.4,69.4,55.0,Balanced
"25,000 - 49,999",28023,No debt,14194,107,3,Funding education,30,Employed,42.6,46.0,43.9,Balanced
"Less than 25,000",22597,"Less than 10,000",18046,54,3,Funding education,27,Self-employed,35.0,44.0,38.6,Conservative
"75,000 - 99,999",115398,No debt,39216,52,3,Buying property,40,Employed,53.9,47.7,51.4,Balanced
"Less than 25,000",27236,"Over 25,000",6769,186,4,Wealth accumulation,31,Self-employed,26.3,74.9,45.7,Balanced
"100,000 or more",106921,No debt,67054,170,3,Retirement savings,38,Employed,67.8,51.4,61.2,Growth
"25,000 - 49,999",93325,No debt,9057,195,5,Wealth accumulation,33,Employed,51.0,97.0,69.4,Growth
